Auction_key,Auction_seq,Regist_type,Regist_class,Regist_date,Creditor,Regist_price
1,10001,집합건물등기,소유이전,20050715,Private,0
1,10002,집합건물등기,가압    ,20050914,푸른이상호저축은행,860547945
1,10003,집합건물등기,가압    ,20051229,Private,189800000
1,10004,집합건물등기,가압    ,20060428,Private,1346000000
1,10005,집합건물등기,가처분  ,20070410,Private,0
1,10006,집합건물등기,가처분  ,20071130,와이케이정보통신,0
1,10007,집합건물등기,강제    ,20080501,푸른이상호저축은행,0
1,10008,집합건물등기,가압    ,20090622,Private,220000000
1,19992,토지별도등기,        ,99999999,Private,0
2,19992,토지별도등기,        ,99999999,Private,0
3,10001,집합건물등기,소유이전,20050812,Private,0
3,10002,집합건물등기,가압    ,20050914,푸른이상호저축은행,860547945
3,10003,집합건물등기,가압    ,20051212,Private,155742300
3,10004,집합건물등기,가압    ,20051229,Private,517624300
3,10005,집합건물등기,가압    ,20060428,Private,1346000000
3,10006,집합건물등기,가처분  ,20071130,와이케이정보통신,0
3,10007,집합건물등기,강제    ,20080501,푸른이상호저축은행,0
3,10008,집합건물등기,가압    ,20090622,Private,220000000
3,19992,토지별도등기,        ,99999999,Private,0
4,10001,집합건물등기,강제    ,20120320,Private,0
4,10002,집합건물등기,소유이전,20140820,리향인터내셔널,0
4,10003,집합건물등기,가처분  ,20140923,Private,0
5,10001,집합건물등기,소유이전,20020620,Private,0
5,10002,집합건물등기,가압    ,20120307,경기신용보증재단,10404000
5,10003,집합건물등기,임의    ,20121129,유니온상호저축은행,0
5,10004,집합건물등기,압류    ,20150813,서울시성북구,0
5,10005,집합건물등기,저당    ,20020729,일양약품,35000000
5,10006,집합건물등기,저당    ,20110930,Private,390000000
5,10007,집합건물등기,질권    ,20151130,안양저축은행,390000000
6,10001,집합건물등기,소유이전,20060530,Private,0
6,10002,집합건물등기,임의    ,20130110,국민은행,0
6,10003,집합건물등기,가압    ,20130114,스마일저축은행,62292790
6,10004,집합건물등기,가압    ,20130314,Private,50000000
6,10005,집합건물등기,가압    ,20130315,Private,50000000
6,10006,집합건물등기,가압    ,20130322,서울보증보험,40000000
6,10007,집합건물등기,압류    ,20140915,강동세무서,0
6,10008,집합건물등기,압류    ,20140916,강동세무서,0
6,10009,집합건물등기,압류    ,20140916,남대문세무서,0
6,10010,집합건물등기,압류    ,20140916,남대문세무서,0
6,10011,집합건물등기,압류    ,20141013,천안세무서,0
6,10012,집합건물등기,압류    ,20141015,서울시중구,0
6,10013,집합건물등기,압류    ,20141023,서울시중구,0
6,10014,집합건물등기,압류    ,20141203,서울시중구,0
6,10015,집합건물등기,압류    ,20150529,서울시강동구,0
6,10016,집합건물등기,압류    ,20160112,서울시강동구,0
6,10017,집합건물등기,가압    ,20160414,티에이자산관리대부,36180584
