Auction_key,Auction_seq,Auction_date,Appraisal_price,Minimum_sales_price,Auction_results
1,1,2011-06-21 00:00:00,313000000,313000000,변경
1,2,2011-12-13 00:00:00,313000000,313000000,변경
1,3,2016-05-17 00:00:00,298000000,298000000,유찰
1,4,2016-06-21 00:00:00,298000000,238400000,유찰
1,5,2016-07-26 00:00:00,298000000,190720000,유찰
1,6,2016-09-06 00:00:00,298000000,152576000,유찰
1,7,2016-10-11 00:00:00,298000000,122061000,낙찰
2,1,2011-06-21 00:00:00,253000000,253000000,변경
2,2,2011-12-13 00:00:00,253000000,253000000,변경
2,3,2016-05-17 00:00:00,244000000,244000000,유찰
2,4,2016-06-21 00:00:00,244000000,195200000,유찰
2,5,2016-07-26 00:00:00,244000000,156160000,유찰
2,6,2016-09-06 00:00:00,244000000,124928000,낙찰
3,1,2011-06-21 00:00:00,106000000,106000000,변경
3,2,2011-12-13 00:00:00,106000000,106000000,변경
3,3,2016-05-17 00:00:00,101000000,101000000,유찰
3,4,2016-06-21 00:00:00,101000000,80800000,유찰
3,5,2016-07-26 00:00:00,101000000,64640000,유찰
3,6,2016-09-06 00:00:00,101000000,51712000,유찰
3,7,2016-10-11 00:00:00,101000000,41370000,낙찰
4,1,2016-10-27 00:00:00,1600000000,1600000000,유찰
4,2,2016-11-30 00:00:00,1600000000,1280000000,유찰
4,4,2016-12-29 00:00:00,1600000000,1024000000,낙찰
4,5,2017-03-07 00:00:00,1600000000,1024000000,배당
5,1,2016-09-27 00:00:00,355000000,355000000,변경
5,2,2016-11-01 00:00:00,355000000,355000000,변경
5,3,2017-03-14 00:00:00,355000000,355000000,낙찰
5,4,2017-05-25 00:00:00,355000000,355000000,배당
6,1,2013-04-23 00:00:00,1000000000,1000000000,변경
6,2,2014-10-07 00:00:00,1000000000,1000000000,유찰
6,3,2014-11-11 00:00:00,1000000000,800000000,유찰
6,4,2014-12-16 00:00:00,1000000000,640000000,변경
6,5,2015-02-03 00:00:00,1000000000,640000000,낙찰
6,6,2016-05-17 00:00:00,1000000000,640000000,낙찰
6,7,2016-07-13 00:00:00,1000000000,640000000,배당
7,1,2013-06-25 00:00:00,510000000,510000000,유찰
7,2,2013-07-30 00:00:00,510000000,408000000,변경
7,3,2015-05-19 00:00:00,510000000,408000000,변경
7,4,2016-02-23 00:00:00,510000000,408000000,변경
7,5,2016-05-10 00:00:00,510000000,408000000,낙찰
7,6,2016-07-19 00:00:00,510000000,408000000,배당
8,1,2015-10-28 00:00:00,380000000,380000000,변경
8,2,2016-07-06 00:00:00,380000000,380000000,낙찰
8,3,2016-09-01 00:00:00,380000000,380000000,배당
9,1,2017-02-07 00:00:00,570000000,570000000,낙찰
9,2,2017-04-13 00:00:00,570000000,570000000,배당
10,1,2016-04-26 00:00:00,27775000000,27775000000,변경
10,2,2016-09-20 00:00:00,27775000000,27775000000,유찰
10,3,2016-10-25 00:00:00,27775000000,22220000000,유찰
10,4,2016-11-29 00:00:00,27775000000,17776000000,유찰
10,5,2016-12-28 00:00:00,27775000000,14220800000,낙찰
10,6,2017-04-14 00:00:00,27775000000,14220800000,배당
11,1,2014-10-16 00:00:00,440000000,440000000,유찰
11,2,2014-11-20 00:00:00,440000000,352000000,유찰
11,3,2014-12-31 00:00:00,440000000,281600000,낙찰
11,4,2016-05-26 00:00:00,440000000,440000000,유찰
11,5,2016-06-30 00:00:00,440000000,352000000,변경
11,6,2016-10-27 00:00:00,440000000,352000000,변경
11,7,2016-12-29 00:00:00,440000000,352000000,변경
11,8,2017-02-23 00:00:00,440000000,352000000,낙찰
11,9,2017-05-16 00:00:00,440000000,352000000,배당
12,1,2015-08-13 00:00:00,110000000,110000000,유찰
12,2,2015-09-17 00:00:00,110000000,88000000,유찰
12,3,2015-10-22 00:00:00,110000000,70400000,유찰
12,4,2015-11-26 00:00:00,110000000,56320000,유찰
12,5,2015-12-24 00:00:00,110000000,45056000,낙찰
12,6,2016-03-03 00:00:00,110000000,45056000,유찰
12,7,2016-04-07 00:00:00,110000000,36045000,유찰
12,8,2016-05-19 00:00:00,110000000,28836000,낙찰
12,9,2016-07-28 00:00:00,110000000,28836000,낙찰
12,10,2016-10-20 00:00:00,110000000,28836000,유찰
12,11,2016-11-24 00:00:00,110000000,23069000,유찰
12,12,2016-12-22 00:00:00,110000000,18455000,유찰
12,13,2017-01-26 00:00:00,110000000,14764000,낙찰
12,14,2017-04-13 00:00:00,110000000,14764000,배당
13,1,2016-05-26 00:00:00,1400000000,1120000000,변경
13,2,2016-09-22 00:00:00,1400000000,1120000000,낙찰
13,3,2016-11-29 00:00:00,1400000000,1120000000,배당
14,1,2014-12-09 00:00:00,1360000000,1360000000,변경
14,2,2015-05-19 00:00:00,1360000000,1360000000,유찰
14,3,2015-06-16 00:00:00,1360000000,1088000000,변경
